十	1	target	十	ジュウ,ジッ,ジュッ,とお,と	とお、ジュウ	kymmenen	十[じゅう] (yleisyys: 33.),二十[にじゅう] (yleisyys: 66.),三十[さんじゅう] (yleisyys: 89.),五十[ごじゅう] (yleisyys: 109.),四十[よんじゅう] (yleisyys: 136.)	十・とう	10 kpl	十ぴき・じゅっぴき	10 pientä eläintä	十人・じゅうにん	10 ihmistä										"Merkin vetojen lukumäärä: 2 <br> <a href=""https://jisho.org/search/十%23kanji"" target=""_blank"">十 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*十*
口	2	comp	口	コウ,ク,くち	コウ,くち	suu	口[くち] (yleisyys: 403.),人口[じんこう] (yleisyys: 1071.),入り口[いりぐち] (yleisyys: 2372.),窓口[まどぐち] (yleisyys: 2671.),口調[くちょう] (yleisyys: 2812.)	口・くち	suu	人口・じんこう	väkiluku					口を大きくあけてください。	Avaa suu isoksi.	日本の人口は何人ですか	Mikä on Japanin väkiluku?				"Merkin vetojen lukumäärä: 3 <br> <a href=""https://jisho.org/search/口%23kanji"" target=""_blank"">口 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*口*
￠	2	comp			-																			vain komponentti	
可	2	comp	￠口	カ,コク,-べ.き,-べ.し	カ	mahdollinen	可能[かのう] (yleisyys: 237.),可成[かなり] (yleisyys: 532.),可愛い[かわいい] (yleisyys: 1064.),可笑しい[おかしい] (yleisyys: 1504.),許可[きょか] (yleisyys: 1638.)																"Merkin vetojen lukumäärä: 5 <br> <a href=""https://jisho.org/search/可%23kanji"" target=""_blank"">可 Jisho-sanakirjassa</a>"		
亻	2	comp	亻			ihminen (人 kun tämä komponentti on merkin vasemmalla puolella)																	"Merkin vetojen lukumäärä: 2 <br> <a href=""https://jisho.org/search/亻%23kanji"" target=""_blank"">亻 Jisho-sanakirjassa</a>"	vain komponentti	
何	2	target	亻可	カ,なに,なん,なに-,なん-	なに、なん	mikä?	何[なに] (yleisyys: 62.),何時[いつ] (yleisyys: 202.),何処[どこ] (yleisyys: 240.),何[なん] (yleisyys: 277.),何の[どの] (yleisyys: 323.)	何・なに	mikä	何年生・なんねんせい	moneskoluokkalainen					フィンランドは何ごですか。	Mitä kieltä Suomessa puhutaan?	ルースさんは何年生ですか。	Monennellako luokalla Ruusu on?				"Merkin vetojen lukumäärä: 7 <br> <a href=""https://jisho.org/search/何%23kanji"" target=""_blank"">何 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*何*
寸	2	comp	寸	スン	スン	vanha pituusmitta sun, n. 3 cm	一寸[ちょっと] (yleisyys: 287.)																"Merkin vetojen lukumäärä: 3 <br> <a href=""https://jisho.org/search/寸%23kanji"" target=""_blank"">寸 Jisho-sanakirjassa</a>"		
土	2	comp	土	ド,ト,つち	ド,つち	maa, maaperä	土地[とち] (yleisyys: 646.),土[ど] (yleisyys: 1281.),国土[こくど] (yleisyys: 2429.),土[つち] (yleisyys: 2515.),土曜[どよう] (yleisyys: 2586.)	土・つち	maa, maaperä	土曜日・どようび	lauantai												"Merkin vetojen lukumäärä: 3 <br> <a href=""https://jisho.org/search/土%23kanji"" target=""_blank"">土 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*土*
寺	2	comp	土寸	ジ,てら	ジ,てら	(buddhalainen) temppeli	寺[じ] (yleisyys: 1161.),寺[てら] (yleisyys: 2546.)																"Merkin vetojen lukumäärä: 6 <br> <a href=""https://jisho.org/search/寺%23kanji"" target=""_blank"">寺 Jisho-sanakirjassa</a>"		
時	2	target	日寺	ジ,とき,-どき	とき、ジ	aika, tunti	時[とき] (yleisyys: 64.),時[じ] (yleisyys: 122.),時間[じかん] (yleisyys: 134.),何時[いつ] (yleisyys: 202.),時代[じだい] (yleisyys: 244.)	時・とき	aika	時・じ	tunti					きゅうけいの時にたいそうしましょう。	Jumpataan tauoilla!	いま何時ですか。	Mitä kello on?				"Merkin vetojen lukumäärä: 10 <br> <a href=""https://jisho.org/search/時%23kanji"" target=""_blank"">時 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*時*
