生	1	target	生	セイ,ショウ,い.きる,い.かす,い.ける,う.まれる,うま.れる,う.まれ,うまれ,う.む,お.う,は.える,は.やす,き,なま,なま-,な.る,な.す,む.す,-う	セイ、いき・る、生まれ？	elämä; syntymä	生活[せいかつ] (yleisyys: 196.),先生[せんせい] (yleisyys: 320.),生[せい] (yleisyys: 330.),生きる[いきる] (yleisyys: 421.),生産[せいさん] (yleisyys: 465.)	生年月日・せいねんがっぴ	syntymäaika	先生、せんせい	opettaja	生きる・いきる	elää	生まれ・うまれ	syntynyt								Merkin vetojen lukumäärä: 5 <br> <a href="https://jisho.org/search/生%23kanji">生 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
人	1	target	人	ジン,ニン,ひと,-り,-と	ひと、ニン、ジン	ihminen	人[ひと] (yleisyys: 67.),人[にん] (yleisyys: 132.),人[じん] (yleisyys: 138.),人間[にんげん] (yleisyys: 192.),一人[ひとり] (yleisyys: 234.)	日本人・にほんじん	japanilainen	何人・なんにん	kuinka monta henkilöä	人・ひと	ihminen										Merkin vetojen lukumäärä: 2 <br> <a href="https://jisho.org/search/人%23kanji">人 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
日	1	target	日	ニチ,ジツ,ひ,-び,-か	ひ	aurinko, päivä	日本[にっぽん] (yleisyys: 78.),日[にち] (yleisyys: 106.),日[ひ] (yleisyys: 150.),日[か] (yleisyys: 169.),今日[きょう] (yleisyys: 247.)	日本・にほん・にっぽん	Japani	日・ひ	aurinko					例文	esimerkkilause suomeksi	例文	esimerkkilause suomeksi				Merkin vetojen lukumäärä: 4 <br> <a href="https://jisho.org/search/日%23kanji">日 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
本	1	target	木一	ホン,もと	ホン	kirja; alkuperä; todellinen, aito; laskusana sylinterinmuotoisille esineille	日本[にっぽん] (yleisyys: 78.),本当[ほんとう] (yleisyys: 248.),基本[きほん] (yleisyys: 367.),本[ほん] (yleisyys: 538.),本[ほん] (yleisyys: 539.)	本・ほん	kirja	本当・ほんとう	tosi					例文	esimerkkilause suomeksi	例文	esimerkkilause suomeksi				Merkin vetojen lukumäärä: 5 <br> <a href="https://jisho.org/search/本%23kanji">本 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
大	1	target	大	ダイ,タイ,おお-,おお.きい,-おお.いに	ダイ、おおきい	suuri	大[だい] (yleisyys: 213.),大きい[おおきい] (yleisyys: 233.),大きな[おおきな] (yleisyys: 282.),大学[だいがく] (yleisyys: 318.),大臣[だいじん] (yleisyys: 534.)	大きい・おおきい	iso	大学・だいがく	yliopisto					例文	esimerkkilause suomeksi	例文	esimerkkilause suomeksi				Merkin vetojen lukumäärä: 3 <br> <a href="https://jisho.org/search/大%23kanji">大 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
小	1	target	小	ショウ,ちい.さい,こ-,お-,さ-	ちいさい、ショウ	pieni	小[しょう] (yleisyys: 399.),小さい[ちいさい] (yleisyys: 714.),小さな[ちいさな] (yleisyys: 726.),小説[しょうせつ] (yleisyys: 1433.),小学[しょうがく] (yleisyys: 1839.)	小さい・ちいさい	pieni	小中大・しょうちゅうだい	pieni, keskikokoinen, suuri (esim. annoskoko)					例文	esimerkkilause suomeksi	例文	esimerkkilause suomeksi				Merkin vetojen lukumäärä: 3 <br> <a href="https://jisho.org/search/小%23kanji">小 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
中	1	target	中	チュウ,なか,うち,あた.る	なか、チュウ	keskellä, sisällä	中[なか] (yleisyys: 82.),中[ちゅう] (yleisyys: 208.),中国[ちゅうごく] (yleisyys: 390.),中心[ちゅうしん] (yleisyys: 413.),中[ちゅう] (yleisyys: 729.)	中・なか	keskellä; sisällä	中学生・ちゅうがくせい	yläkoululainen												Merkin vetojen lukumäärä: 4 <br> <a href="https://jisho.org/search/中%23kanji">中 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
時	1	target	日寺	ジ,とき,-どき	とき、ジ	aika, tunti	時[とき] (yleisyys: 64.),時[じ] (yleisyys: 122.),時間[じかん] (yleisyys: 134.),何時[いつ] (yleisyys: 202.),時代[じだい] (yleisyys: 244.)	時・とき	aika	時・じ	tunti												Merkin vetojen lukumäärä: 10 <br> <a href="https://jisho.org/search/時%23kanji">時 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
分	1	target	八刀	ブン,フン,ブ,わ.ける,わ.け,わ.かれる,わ.かる,わ.かつ	わかる、ブン	osa, minuutti; ymmärtää; jakaa	自分[じぶん] (yleisyys: 87.),分かる[わかる] (yleisyys: 105.),分[ふん] (yleisyys: 238.),部分[ぶぶん] (yleisyys: 344.),分[ぶん] (yleisyys: 476.)	分・ぶん、ふん、ぷん	minuutti	分かる・わかる	ymmärtää												Merkin vetojen lukumäärä: 4 <br> <a href="https://jisho.org/search/分%23kanji">分 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
月	1	target	月	ゲツ,ガツ,つき	つき、ガツ	kuu; kuukausi	月[がつ] (yleisyys: 69.),箇月[かげつ] (yleisyys: 488.),月[つき] (yleisyys: 1101.),正月[しょうがつ] (yleisyys: 3161.),毎月[まいつき] (yleisyys: 3327.)	月・つき	kuu	月・がつ	kuukausi	二か月・にかげつ	kahden kuukauden ajan										Merkin vetojen lukumäärä: 4 <br> <a href="https://jisho.org/search/月%23kanji">月 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
